id,sentence1,sentence2,labels,source
890c8ff8-1b12-41ad-99d0-8494d45ac2d1,"It ended a diplomatic drought between the two nations, at odds for months over North Korea's nuclear program and American demands that it cease.","The contact between the delegations ended a diplomatic drought between the two nations, at odds over the nuclear program and U.S. demands that it cease immediately.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
6584b044-31c6-4472-ab68-5cd499648641,"And ""although the preconditions for recovery remain in place,"" it said the prospects for British exports were ""weaker than previously expected.""","""Although the preconditions for recovery remain in place, the prospect for external demand for UK output is weaker than previously expected.""","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",orig
8443c3c5-f265-4af0-8c18-d9d5f6509884,"Senate passage of the Medicare bill was almost certain, possibly as early as today.",Senate passage of the Medicare bill is almost certain Monday.,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",orig
45391af2-89a6-4203-bb76-6b524b767c1e,"On Friday, the Concorde started up around sunrise and seemed to launch itself straight out of the rising sun.","Yesterday, the Concorde seemed to launch itself straight out of the rising sun.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",orig
d2198fb2-98d1-48b2-980c-9aa0fc3b8b65,This is just the latest movement in a continuing trend towards open source support of business applications.,This is just the latest movement in a continuing trend toward open-source support among business application vendors.,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
aa23880d-57b4-496c-8e6d-76f767e3f15d,He found that men who had ejaculated more than five times a week in their 20s were a third less likely to develop aggressive prostate cancer later in life.,Those who ejaculated more than five times a week were a third less likely to develop serious prostate cancer in later life.,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",orig
5b4f6bf4-6bdd-4677-bae1-6b595571c930,The legislation opens the way for police and other personnel to be deployed to the Solomons and to carry out law enforcement functions.,"""Once the legislation enters into force, it opens the way for police and other personnel to be deployed to Solomon Islands and to carry out law-enforcement functions.","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",orig
b3c431b0-f0ef-4887-a39d-2a0a06e07896,The company claims it's the largest single Apple VAR Xserve sale to date.,The company claimed it is the largest sale of Xserves by an Apple retailer.,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",orig
a2dcbf00-93c8-4cf2-94ad-1d52092eaee3,"""We're a quiet, peaceful town of 862 people and nothing ever happens,"" said Carolyn Greene Bennett, Cedar Grove's town recorder.","""We're a quiet, peaceful town of 862 people and nothing ever happens,"" Bennett said.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]",orig
75880bb7-abdc-46f4-96ce-73c517d82d28,"This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.","IBM said the Rational products were also integrated with Rational PurifyPlus, which allows developers to work in Java, Visual C# and VisualBasic .Net.","[0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",orig
